Số thí sinh rớt 2018,Số thí sinh thi lại 2018,Số thí sinh đậu 2018,Tổng thí sinh 2018,Số thí sinh rớt 2019,Số thí sinh thi lại 2019,Số thí sinh đậu 2019,Tổng thí sinh 2019,Tên Tỉnh
1115.0,3648.0,73558.0,78321.0,0.0,0.0,0.0,0.0,THÀNH PHỐ HỒ CHÍ MINH
1151.0,1404.0,35544.0,38099.0,2524.0,1766.0,69987.0,74277.0,THÀNH PHỐ HÀ NỘI
1917.0,790.0,25944.0,28651.0,1301.0,722.0,25502.0,27525.0,TỈNH ĐỒNG NAI
868.0,1126.0,20041.0,22035.0,625.0,611.0,19235.0,20471.0,TỈNH ĐẮK LẮK
1022.0,507.0,19906.0,21435.0,501.0,410.0,18075.0,18986.0,TỈNH THÁI BÌNH
1266.0,468.0,18239.0,19973.0,670.0,351.0,18227.0,19248.0,TỈNH HẢI DƯƠNG
1083.0,591.0,17938.0,19612.0,674.0,398.0,18482.0,19554.0,TỈNH BẮC GIANG
106.0,677.0,17002.0,17785.0,102.0,373.0,17298.0,17773.0,TỈNH BÌNH ĐỊNH
106.0,666.0,16760.0,17532.0,132.0,325.0,15889.0,16346.0,TỈNH QUẢNG NAM
409.0,661.0,15260.0,16330.0,358.0,429.0,16034.0,16821.0,TỈNH HÀ TĨNH
110.0,748.0,14127.0,14985.0,72.0,471.0,13345.0,13888.0,TỈNH LÂM ĐỒNG
514.0,307.0,13994.0,14815.0,483.0,222.0,13571.0,14276.0,TỈNH BẮC NINH
268.0,366.0,13733.0,14367.0,165.0,410.0,12523.0,13098.0,TỈNH ĐỒNG THÁP
187.0,316.0,13603.0,14106.0,105.0,368.0,13271.0,13744.0,TỈNH TIỀN GIANG
493.0,377.0,13229.0,14099.0,1022.0,859.0,33005.0,34886.0,TỈNH THANH HÓA
361.0,416.0,13288.0,14065.0,189.0,338.0,12823.0,13350.0,TỈNH LONG AN
511.0,451.0,12737.0,13699.0,486.0,274.0,12875.0,13635.0,TỈNH PHÚ THỌ
412.0,376.0,12712.0,13500.0,297.0,247.0,12002.0,12546.0,TỈNH KHÁNH HÒA
429.0,668.0,12385.0,13482.0,300.0,440.0,11728.0,12468.0,TỈNH KIÊN GIANG
394.0,2375.0,10299.0,13068.0,176.0,641.0,9654.0,10471.0,THÀNH PHỐ CẦN THƠ
322.0,337.0,12229.0,12888.0,358.0,230.0,11768.0,12356.0,TỈNH HƯNG YÊN
507.0,771.0,11547.0,12825.0,584.0,477.0,12119.0,13180.0,TỈNH GIA LAI
421.0,405.0,11805.0,12631.0,427.0,263.0,12000.0,12690.0,TỈNH QUẢNG NGÃI
1236.0,498.0,10868.0,12602.0,609.0,245.0,11387.0,12241.0,TỈNH VĨNH PHÚC
204.0,635.0,11548.0,12387.0,102.0,399.0,11380.0,11881.0,TỈNH THỪA THIÊN - HUẾ
444.0,350.0,11052.0,11846.0,312.0,287.0,10622.0,11221.0,TỈNH BÀ RỊA - VŨNG TÀU
288.0,307.0,11145.0,11740.0,135.0,318.0,10863.0,11316.0,TỈNH BẾN TRE
